recId,searchText
272,"ул. Кордай, д. 87"
273,"ул. Космонавтов, д. 13"
274,"ул. Косшыгулулы, д. 13/5"
275,"ул. Косшыгулулы, д. 14"
276,"ул. Косшыгулулы, д. 18"
277,"ул. Косшыгулулы, д. 20"
278,"ул. Косшыгулулы, д. 23"
279,"ул. Косшыгулулы, д. 3"
280,"ул. Косшыгулулы, д. 9"
281,"ул. Косшыгулулы, д. 9"
282,"ул. Кошкарбаева, д. 29"
283,"ул. Кошкарбаева, д. 37"
284,"ул. Кошкарбаева, д. 40/1"
285,"ул. Кошкарбаева, д. 66/1"
286,"ул. Кошкарбаева, д. 8"
287,"ул. Кравцова, д. 6"
288,"ул. К.Сатпаева, д. 10"
289,"ул. Куйши Дина, д. 13"
290,"ул. Куйши Дина, д. 22"
291,"ул. Куйши Дина, д. 23, ВП-6"
292,"ул. Куйши Дина, д. 26"
293,"ул. Куйши Дина, д. 28"
294,"ул. Куйши Дина, д. 29/1А"
295,"ул. Куйши Дина, д. 30"
296,"ул. Куйши Дина, д. 4/1"
297,"ул. Куйши Дина, д. 8/1"
298,"ул. Култобе, д. 11"
299,"ул. Кумисбекова, д. 8"
300,"ул. Кумисбекова, д. 9"
301,"ул. Кунаева, д. 14"
302,"ул. Кунаева, д. 14/2, ВП-1"
303,"ул. Кунаева, д. 35"
304,"ул. Майлина, д. 14"
305,"ул. Майлина, д. 17"
306,"ул. Майлина, д. 31"
307,"ул. Майлина, д. 7/2"
308,"ул. Мамбетова, д. 16"
309,"ул. Маскеу, д. 29"
310,"ул. Маскеу, д. 9"
311,"ул. Маяковского, д. 7 А"
312,"ул. Медеу, д. 66А"
313,"ул. Мусрепова, д. 2/2"
314,"ул. Мусрепова, д. 7"
315,"ул. Мустафина, д. 1"
316,"ул. Нажимеденова, д. 16А"
317,"ул. Окжетпес, д. 66"
318,ул. Омарова д. 27
319,"ул. Орынбор, д. 16"
320,"ул. Отырар, д. 10"
321,"ул. Петрова, д. 1/2"
322,"ул. Петрова, д. 13"
323,"ул. Петрова, д. 15"
324,"ул. Петрова, д. 23 А"
325,"ул. Петрова, д. 24"
326,"ул. Потанина, д. 9"
327,"ул. Пушкина, д. 35Б"
328,"ул. Ракымова, д. 22"
329,"ул. Рыскулбекова, д. 16"
330,"ул. Рыскулбекова, д. 31/1"
331,"ул. Сарайшык, д. 34"
332,"ул. Сауран, д. 12/1"
333,"ул. Сауран, д. 14"
334,"ул. Сауран, д. 3/1, ВП-15"
335,"ул. Сауран, д. 7"
336,"ул. Сейфуллина, д. 23"
337,"ул. Сейфуллина, д. 33, ВП-2"
338,"ул. Сейфуллина, д. 45/1"
339,"ул. Сейфуллина, д. 5"
340,"ул. Сембинова, д. 7"
341,"ул. Сулуколь, д. 18"
342,"ул. Сусамыр, д. 42А"
343,"ул. Сыганак, д. 10, ВП-27"
344,"ул. Сыганак, д. 14"
345,"ул. Сыганак, д. 18/1"
346,"ул. Сыганак, д. 2"
347,"ул. Сыганак, д. 21/1"
348,"ул. Тайбурыл, д. 15/2"
349,"ул. Тараса Шевченко, д. 4/1"
350,"ул. Ташенова, д. 8"
351,"ул. Тлендиева, д. 24"
352,"ул. Тлендиева, д. 42"
353,"ул. Токтарова, д. 17"
354,"ул. Толстого, д. 40"
355,"ул. Торайгырова, д. 3"
356,"ул. Туркестан, д. 10"
357,"ул. Туркестан, д. 14А"
358,"ул. Туркестан, д. 18/1"
359,"ул. Туркестан, д. 20/1"
360,"ул. Туркестан, д. 2, блок 1"
361,"ул. Туркестан, д. 30"
362,"ул. Туркестан, д. 34"
363,"ул. Улы Дала, д. 25"
364,"ул. Ханов Керея и Жанибека, д. 11"
365,"ул. Ханов Керея и Жанибека, д. 15"
366,"ул. Ханов Керея и Жанибека, д. 22"
367,"ул. Ханов Керея и Жанибека, д. 9"
368,"ул. Цветочная, д. 121 А"
369,"ул. Ш.Валиханова, д. 13"
370,"ул. Ш.Валиханова, д. 24"
371,"ул. Шонанулы, д. 41/1"
372,"шоссе Алаш, д. 13"
373,"шоссе Алаш, д. 20а"
374,"шоссе Алаш, д. 23/1"
375,"ЖМ Коктал-1, ул. Жанаконыс, д. 47"
376,"Кургальжинское шоссе, д. 4"
377,"пр. Республики, д. 8"
378,"ул. Айнаколь, д. 26/1"
379,"ул. Ауэзова, д. 17"
380,"ул. Бейбитшилик, д. 40"
381,"ул. Гёте, д. 1Б"
382,"ул. Достык, д. 13"
383,"ул. Карталинская, д. 18/1"
384,"ул. Петрова, д. 24"
385,"ул. Сыганак, д. 10"
386,"ул. Ташенова, д. 21"
387,"пр. Б.Момышулы, д. 25"
388,"пр. Мангилик Ел, д. 19"
389,"пр. Республики, д. 69"
390,"пр. Тлендиева, д. 36"
391,"ул. Абая, д. 94а"
392,"ул. Акжол, д. 41"
393,"ул. Аманжолова, д. 32"
394,"ул. Балкантау, д. 12"
395,"ул. Балкантау, д. 53"
396,"ул. Иманбаевой, д. 5"
397,"ул. Кенесары, д. 4"
398,"ул. Кунаева, д. 12/2"
399,"ул. Петрова, д. 19"
400,"ул. Потанина, д. 2"
401,"ул. Сарайшык, д. 5"
402,"ул. Сауран, д. 9 А"
403,"ул. Сейфуллина, д. 45/1"
404,"ул. Туран, д. 55/3"
405,"ул. Ш.Валиханова, д. 24"
406,"шоссе Алаш, д. 32"
407,"шоссе Алаш, д. 34/1"
408,"10А мкр-н, д. 2"
409,"10А мкр-н, д. 9"
410,"11 мкр-н, д. 27"
411,"11 мкр-н, д. 27"
412,"12 мкр, д. 9/2"
413,"12 мкр-н, д. 20а"
414,"13 Военный городок, д. 21Б"
415,"13 Военный Городок, д. 21 Б"
416,"1 мкр-н, д. 23"
417,"1 мкр-н, д. 68/4"
418,"2 мкр-н, д. 28А"
419,"4 мкр-н, д. 10 А"
420,"4 мкр-н, д. 10г/1"
421,"4 мкр-н, д. 27"
422,"4 мкр-н, д. 2 Б"
423,"5 мкр-н, д. 19Б"
424,"6 мкр-н, пр. Абая, д. 48"
425,"8 мкр-н, д. 37/1"
426,"8 мкр-н, д. 39"
427,"8 мкр-н, д. 41/1"
428,"8 мкр-н, д. 41/6"
429,"8 мкр-н, д. 41/6"
430,"9 мкр-н, д. 40"
431,"бульвар Бухар Жырау, д. 50"
432,"г. Алматы, ул. Абылай Хана, д. 27"
433,"ЖК Алма Сити, ул. Жунисова, д. 10к14"
434,"ЖК Бай-тал, ул. Рыскулбекова, д. 28/3"
435,"мкр. Айгерим-1, ул. Садовая, д. 149"
436,"мкр. Айгерим-2, ул. Байтенова, д. 130"
437,"мкр. Айгерим-2, ул. Байтенова, д. 61"
438,"мкр. Айнабулак-1, д. 9"
439,"мкр. Айнабулак-2, д. 43"
440,"мкр. Айнабулак-2, д.71"
441,"мкр. Айнабулак-2, д. 71д"
442,"мкр. Айнабулак-2, д. 84/4"
443,"мкр. Айнабулак-3, д. 103А"
444,"мкр. Айнабулак-3, ул. Жумабаева, д. 98 А"
445,"мкр. Айнабулак-4, д. 175"
446,"мкр. Айнабулак-4, ул. Жумабаева, д. 172Г"
447,"мкр. Айнабулак, д. 71 Д"
448,"мкр. Айнабулак, д. 71 Д"
449,"мкр. Айнабулак, д. 98Б"
450,"мкр. Акбулак, д. 1"
451,"мкр. Акбулак, ул. АЗТМ, д. 273"
452,"мкр. Акбулак, ул. Хан Шатыр, д. 273"
453,"мкр. Акжар, ул. Даулеткерей, д. 56/1"
454,"мкр. Акжар, ул. Егинсу, д. 39/17"
455,"мкр. Аккент, д. 18"
456,"мкр. Аккент, д. 32"
457,"мкр. Аккент, д. 41"
458,"мкр. Аксай-1А, д. 23 А"
459,"мкр. Аксай-1А, д. 27Б"
460,"мкр. Аксай-2, д. 10"
461,"мкр. Аксай-2, д. 10"
462,"мкр. Аксай-2, д. 24"
463,"мкр. Аксай-2, д. 53 Б"
464,"мкр. Аксай-2, д. 73"
465,"мкр. Аксай-3Б, д. 1 б"
466,"мкр. Аксай-3Б, д. 32"
467,"мкр. Аксай-3, д. 1"
468,"мкр. Аксай-3, д. 1"
469,"мкр. Аксай-3, д. 1"
470,"мкр. Аксай-3, д. 5/1"
471,"мкр. Аксай-4, д. 20"
472,"мкр. Аксай-4, д. 20 Б"
473,"мкр. Аксай-4, д. 30"
474,"мкр. Аксай-4, д. 44А"
475,"мкр. Аксай-4, д. 70Б"
476,"мкр. Аксай-4, д. 96А"
477,"мкр. Аксай-4, д. 96А"
478,"мкр. Аксай-5, д. 25"
479,"мкр. Аксай-5, д. 3"
480,"мкр. Алгабас-1, д. 5"
481,"мкр. Алгабас-6, д. 1/131"
482,"мкр. Алгабас-6, д. 1/29"
483,мкр. Баганашил. ул. Сыргабекова д. 1 Д
484,"мкр. Баянаул, д. 57 А"
485,"мкр. Водник-1, д. 2/1"
486,"мкр. Водник-1, д. 29 А"
487,"мкр. Дархан, ул. Ахметова, д. 344"
488,"мкр. Дархан, ул. Центральная, д. 42"
489,"мкр. Достык, ул. Яссауи, д. 68"
490,"мкр. Думан-2, д. 19"
491,"мкр. Думан, ул. Жиренше, д. 2"
492,"мкр. Думан, ул. Хан Тенгри, д. 50/16"
493,"мкр. Ерменсай, ул. Желтоксан, д. 8В"
494,"мкр. Жана Куат, ул. 7 линия, д. 550"
495,"мкр. Жас Канат, д. 1/22"
496,"мкр. Жас Канат, д. 1/32"
497,"мкр. Жетысу-1, пр. Улугбека, д. 9"
498,"мкр. Жетысу-2, д. 38 Б"
499,"мкр. Жетысу-3, д. 1 Г"
500,"мкр. Жулдыз-1, д. 5 А"
501,"мкр. Жулдыз-1, д. 5 А"
502,"мкр. Заря Востока, ул. Садовая, д. 45"
503,"мкр. Заря Восток, ул. Дунганская, д. 7"
504,"мкр. Казахфильм, д. 17"
505,"мкр. Казахфильм, ул. Исиналиева, д. 37"
506,"мкр. Кайрат, д. 181"
507,"мкр. Кайрат, ул. Рыскулова, д. 1"
508,"мкр. Калкаман-2, д. 49"
509,"мкр. Калкаман-2, д. 49"
510,"мкр. Калкаман-2, ул. Абилова, д. 42А/1"
511,"мкр. Калкаман-2, ул. Айбергенова, д. 151"
512,"мкр. Калкаман- 2, ул. Байзак Батыра , д. 101"
513,"мкр. Калкаман-2, ул. Молдабекова, д. 11А"
514,"мкр. Калкаман-3, ул. Кенбаева, д. 5"
515,"мкр. Калкаман, д. 8/1"
516,"мкр. Карагайлы, ул. Мечеть, д. 5Б"
517,"мкр. Карасу, ул. Заводская, д. 76А"
518,"мкр. Карасу, ул. Озерная, д. 1"
519,"мкр. Каргалы, ул. Мустафина, д. 54/11"
520,"мкр. Кемел, ул. Есим Хана, д. 42А"
521,"мкр. Кемел, ул. Жар-Жар, д. 54Б"
522,"мкр. Кокжиек, д. 27"
523,"мкр. Кокжиек, д. 7 а"
524,"мкр. Кок-Кайнар, ул. Абая, д. 61"
525,"мкр. Кокмайса, д. 6"
526,"мкр. Коктем-1, д. 16"
527,"мкр. Коктем-1, д. 20"
528,"мкр. Коктобе, ул. Нурмагамбетова, д. 520"
529,"мкр. Коянкус, ул. Абая, д. 152 Б"
530,"мкр. Кулагер, д. 23 А"
531,"мкр. Кулагер, д. 65"
532,"мкр. Кулагер, ул. Омарова, д. 95 А"
533,"мкр. Мадениет, ул. Нуржауган, д. 406/9"
534,"мкр. Мамыр-1, д. 29/7"
535,"мкр. Мамыр-1, д. 4"
536,"мкр. Мамыр-1, д. 4"
537,"мкр. Мамыр-1, д. 8 А"
538,"мкр. Мамыр-1, д. 8А"
539,"мкр. Мамыр-2, д. 3"
540,"мкр. Мамыр-3, д. 11"
541,"мкр. Мамыр-4, д. 100А/1"
542,"мкр. Мамыр-4, д. 102А"
543,"мкр. Мамыр, ул. Кассина, д. 1"
544,"мкр. Мамыр, ул. Кассина, д. 2/1"
545,"мкр. Нуркент, д. 57"
546,"мкр. Ожет, ул. Бекболата, д. 2/91"
547,"мкр. Орбита-1, д. 2, по ул. Навои, уг. ул. Торайгырова"
548,"мкр. Орбита- 2, д. 29"
549,"мкр. Орбита--2, д. 6, Н 1"
550,"мкр. Орбита-3, д. 1"
551,"мкр. Орбита-3, д. 31"
552,"мкр. Орбита-3, д. 31"
553,"мкр. Орбита-3, д. 4А"
554,"мкр. Орбита-3, д. 5"
555,"мкр. Первомайский, ул. Капчагайская, д. 20 А"
556,"мкр. Премьера, ул. Жуалы, д. 12"
557,"мкр Самал-1, д. 6"
558,"мкр. Самал-2, бульвар Мендикулова, д. 105"
559,"мкр. Самал-2, д. 111"
560,"мкр. Самал-2, д. 47"
561,"мкр. Саялы-2, ул. Аркалык, д. 38"
562,"мкр. Саялы, ул. Ак-Кайнар, д. 5"
563,"мкр. Саялы , ул. АККАЙНАР, д. 59"
564,"мкр. Тастак-2, д. 9"
565,"мкр. Тастыбулак, ул. Жандосова, д. 10 А"
566,"мкр. Таугуль-3, ул. С.Шаймерденова, д. 19/1"
567,"мкр. Таусамалы, д. 90 А"
568,"мкр. Таусамалы, ул. Ауэзова, д. 50"
569,"мкр. Таусамалы, ул. Рыскулова, д. 90 А"
570,"мкр. Трудовик, ул. Центральная, д. 110"
571,"мкр. Ужет, ул. Кошкарбаева, д. 236"
572,"мкр. Улжан-1, ул. Такежанова, д. 29"
573,"мкр. Улжан, ул. Такежанова, д. 39Б"
574,"мкр. Шанырак-1, ул. Отемисулы, д. 127 А"
575,"мкр. Шанырак-2, ул. Жанкожа батыра, д. 151"
576,"мкр. Шанырак-2, ул. Жанкожа батыра, д. 69"
577,"мкр. Шугыла, д. 341/3К2"
578,"мкр. Шугыла, д. 341/5 К1"
579,"мкр. Шугыла, д. 342"
580,"мкр. Шугыла, ул. Карабулак, д. 12/1"
581,"п. Боралдай, ул. Бостанова, д. 1"
582,"пос. Кыргауылды, ул. Бирлик, д. 1Е"
583,"пр. Абая, д. 139"
584,"пр. Абая, д. 141"
585,"пр. Абая, д. 157 А"
586,"пр. Абая, д. 27а"
587,"пр. Абая, д. 27А"
588,"пр. Абая, д. 30 А"
589,"пр. Абая, д. 34/96"
590,"пр. Абая, д. 46"
591,"пр. Абая, д. 46"
592,"пр. Абая, д. 47"
593,"пр. Абая, д. 50"
594,"пр. Абая, д. 60"
595,"пр. Абая, д. 99"
596,"пр. Абылай хана, д. 113"
597,"пр. Абылай хана, д. 113"
598,"пр. Абылай Хана, д. 131"
599,"пр. Абылай Хана, д. 3 А"
600,"пр. Абылай Хана, д. 3 А"
601,"пр. Абылай хана, д. 60"
602,"пр. Абылай Хана, д. 62"
603,"пр. Абылай хана, д. 68"
604,"пр. Абылай хана, д. 68"
605,"пр. Аль-Фараби, д. 110/19"
606,"пр. Аль-Фараби, д. 13к1в"
607,"пр. Аль-Фараби, д. 19/3 Б"
608,"пр. Аль-Фараби, д. 19, корпус 2Б"
609,"пр. Аль-Фараби, д. 7, корпус 1 А"
610,"пр. Гагарина, д. 100"
611,"пр. Гагарина, д. 155"
612,"пр. Достык, д. 105"
613,"пр. Достык, д. 248"
614,"пр. Достык, д. 248"
615,"пр. Достык, д. 71"
616,"пр. Достык, д. 91/1"
617,"пр. Жибек Жолы, д. 111"
618,"пр. Жибек Жолы, д. 135"
619,"пр. Жибек Жолы, д. 50/1а"
620,"пр. Жибек Жолы, д. 52"
621,"пр. Жибек Жолы, д. 52"
622,"пр. Жибек Жолы, д. 52"
623,"пр. Жибек Жолы, д. 52"
624,"пр. Назарбаева, д. 120"
625,"пр. Назарбаева, д. 223"
626,"пр. Назарбаева, д. 226"
627,"пр. Назарбаева, д. 244А"
628,"пр. Назарбаева, д. 58"
629,"пр. Назарбаева, д. 76"
630,"пр. Райымбека, д. 100 А"
631,"пр. Райымбека, д. 100 А"
632,"пр. Райымбека, д. 100 А"
633,"пр. Райымбека, д. 101"
634,"пр. Райымбека, д. 239 Г"
635,"пр. Райымбека, д. 239 Г"
636,"пр. Райымбека, д. 239 Г"
637,"пр. Райымбека, д. 507А"
638,"пр. Райымбека, д. 508/1"
639,"пр. Райымбека, д. 542/2"
640,"пр. Рыскулова, д. 103"
641,"пр. Рыскулова, д. 103/1А"
642,"пр. Рыскулова, д. 111 А"
643,"пр. Рыскулова, д. 236"
644,"пр. Рыскулова, д. 274А"
645,"пр. Сейфуллина, д. 168Б"
646,"пр. Сейфуллина, д. 16А"
